,,Item Classification,,,,Attribute Classification,,,,,,Connection with Alliance companies validation items,,,Structure of Evaluation item (Japanese),,,,,,,,,,Structure of Evaluation item (English),,,,,,,,,,Application,,,Deployment,,,,,,,,Achievement,,,,,,,,Digital Phase Evaluation,,,,,,,,,,,,,,,,,,,,Physical Phase Confirmation,,,,,,,,,,,,,,,,,Physical Phase Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,,
,,,,,,,,,,,,,,,Performance Targets,,Vehicle Targets,,,Component Targets,,,,,Performance Targets,,Vehicle Targets,,,Component Targets,,,,,Development pattern,,,Section name,,Person in charge,,,,,,Section name,,Person in charge,,,,,,Digital,,,,,,,,,,,,,,,,,,,,Physical Confirmation,,,,,,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engine,VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),VQ38 (ZV9),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section name,,Person in charge,,,,DS,,,,,,,DC,,,,,,,Section name,,Person in charge,,,,PFC,,,,,,,,,,,Section name,,Person in charge,,,,VC,,,,,,,,,,PT1,,,,,,,,,,PT2,,,,,,,,,,,Gearbox,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,9AT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evaluation result,,,,,,,Evaluation result,,,,,,,,,,,,,PLAN,,Evaluation result,,,,,,,,,,,,,,,PLAN,Evaluation result,,,,,,,,,PLAN,Evaluation result,,,,,,,,,PLAN,Evaluation result,,,,,,,,,Axle,2WD,2WD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,AWD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First time,,,,Counter Measures,,,First time,,,,Counter Measures,,,,,,,,,,,First time,,,,,Counter Measures,,,,,,,,,,,First time,,,,,Counter Measures,,,,,First time,,,,,Counter Measures,,,,,First time,,,,,Counter Measures,,,,Handle,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,LHD,,
Actions,CADICS No.,SNT,Regulations,PEP,Other,Good Design,Y0,Y0 No.,CAR recurrence prevention,Solution,Solution No.,Common Validation item,Procedure,Requirement,Step 1,Step 2,Step 1,Step 2,Step 3,Level 1,Level 2,Level 3,Level 4,Comment,Step 1,Step 2,Step 1,Step 2,Step 3,Level 1,Level 2,Level 3,Level 4,Comment,Digital evaluation,PF evaluation,Physical evaluation,KCA Project group,Team,Manager name,ID or Mail account,Name of person in charge,ID or Mail account,Target value,Comment,KCA Project group,Team,Manager name,ID or Mail account,Name of person in charge,ID or Mail account,Agreement of target,Comment,KCA Project group,Team,Manager name,ID or Mail account,Evaluation Responsible,ID or Mail account,DS_Evaluate or not,Result(OK/NOK),Report No.,	Number of Q-BASE,Q-BASE number,Result(OK/NOK),Comment,DC_Evaluate or not,Result(OK/NOK),Report No.,	Number of Q-BASE,Q-BASE number,Result(OK/NOK),Comment,KCA Project group,Team,Manager name,ID or Mail account,Evaluation Responsible,ID or Mail account,PFC_Evaluate or not,Confirmation first time date,Feedback timing,Result(OK/NOK),Confirmation completion date,Report No.,Number of Q-BASE,Q-BASE number,Result(OK/NOK),Confirmation completion date,Comment,KCA Project group,Team,Manager name,ID or Mail account,Evaluation Responsible,ID or Mail account,VC_Evaluate or not,Confirmation first time date,Result(OK/NOK),Confirmation completion date,Report No.,Number of Q-BASE,Q-BASE number,Result(OK/NOK),Confirmation completion date,Comment,PT1_Evaluate or not,Confirmation first time date,Result(OK/NOK),Confirmation completion date,Report No.,Number of Q-BASE,Q-BASE number,Result(OK/NOK),Confirmation completion date,Comment,PT2_Evaluate or not,Confirmation first time date,Result(OK/NOK),Confirmation completion date,Report No.,Number of Q-BASE,Q-BASE number,Result(OK/NOK),Confirmation completion date,Comment,Common or unique applied validation,Lead Company,CONF-001,CONF-002,CONF-003,CONF-004,CONF-005,CONF-006,CONF-007,CONF-008,CONF-009,CONF-010,CONF-011,CONF-012,CONF-013,CONF-014,CONF-015,CONF-016,CONF-017,CONF-018,CONF-019,CONF-020,CONF-021,CONF-022,CONF-023,CONF-024,CONF-025,CONF-026,CONF-027,CONF-028,CONF-029,CONF-030,CONF-031,CONF-032,CONF-033,CONF-034,,
,MSTR-003-0038600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_C(操乗異音)_XTJ.xlsx,,,,,,YES,,,,,,,,,"pcm: None, 最不利仕様: None",YES,,,,,,,,,"pcm: None, 最不利仕様: None",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSTR-003-0038600-d0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_C(操乗異音)_XTJ.xlsx,,,,,,YES,,,,,,,,,"pcm: None, 最不利仕様: None",YES,,,,,,,,,"pcm: None, 最不利仕様: None",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSTR-003-0038600-d0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_C(操乗異音)_XTJ.xlsx,,,,,,YES,,,,,,,,,"pcm: None, 最不利仕様: None",YES,,,,,,,,,"pcm: None, 最不利仕様: None",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSTR-003-0038600-d0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_C(操乗異音)_XTJ.xlsx,,,,,,YES,,,,,,,,,"pcm: None, 最不利仕様: None",YES,,,,,,,,,"pcm: None, 最不利仕様: None",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
